0-SRR2034334_Fractions.csv
Var1,Freq
B,1
1-SRR2034335_Fractions.csv
Var1,Freq
B,1
2-SRR2034337_Fractions.csv
Var1,Freq
B,0.896551724137931
N,0.103448275862069
3-SRR2034338_Fractions.csv
Var1,Freq
K,1
4-SRR2034339_Fractions.csv
Var1,Freq
Ha,1
5-SRR2034340_Fractions.csv
Var1,Freq
A,1
6-SRR2034341_Fractions.csv
Var1,Freq
E,1
7-SRR2034342_Fractions.csv
Var1,Freq
B,1
8-SRR2034343_Fractions.csv
Var1,Freq
K,1
9-SRR2034344_Fractions.csv
Var1,Freq
K,1
10-SRR2034345_Fractions.csv
Var1,Freq
K,1
11-SRR2034347_Fractions.csv
Var1,Freq
Fa,1
12-SRR2034348_Fractions.csv
Var1,Freq
B,0.129032258064516
G,0.516129032258065
K,0.354838709677419
13-SRR2034349_Fractions.csv
Var1,Freq
A,1
14-SRR2034350_Fractions.csv
Var1,Freq
A,0.25
G,0.75
15-SRR2034351_Fractions.csv
Var1,Freq
Ia,1
16-SRR2034353_Fractions.csv
Var1,Freq
T,1
17-SRR2034354_Fractions.csv
Var1,Freq
B,1
18-SRR2034355_Fractions.csv
Var1,Freq
E,1
19-SRR2034356_Fractions.csv
Var1,Freq
K,1
20-SRR2034357_Fractions.csv
Var1,Freq
A,0.333333333333333
K,0.666666666666667
21-SRR2034358_Fractions.csv
Var1,Freq
A,0.0806451612903226
K,0.129032258064516
Ua,0.790322580645161
22-SRR2034359_Fractions.csv
Var1,Freq
B,0.237037037037037
E3,0.125925925925926
Ha,0.637037037037037
23-SRR2034360_Fractions.csv
Var1,Freq
K,1
24-SRR2034361_Fractions.csv
Var1,Freq
A,0.649484536082474
B,0.103092783505155
K,0.247422680412371
25-SRR2034362_Fractions.csv
Var1,Freq
E3,1
